#Date	DIN (Âµmol L^{-1})	DIP (Âµmol L^{-1})	POC (Âµmol L^{-1})	PON (Âµmol L^{-1})	Chla (Âµmol L^{-1})	Mean	
2013-03-08 00:00:00	6.3728125	0.799728722	15.65644826	2.183486828	0.375506667          2.0118538801
2013-03-10 00:00:00	6.8934		0.7355		12.52706686	1.777040051	0.511441045          2.0335998039
2013-03-12 00:00:00	6.66100002	0.7234		16.81265507	2.268994074	0.617007104          1.9928400739
2013-03-14 00:00:00	6.70046668	0.688333333	13.24997919	1.838487899	0.682564109          2.1141076069
2013-03-16 00:00:00	7.11773334	0.8364     	14.27081842	1.787534804	0.856338375          2.072927036
2013-03-18 00:00:00	6.63396228	0.745495969	13.53788194	1.898108089	0.818739505          2.0959482494
2013-03-20 00:00:00	6.40586145	0.802729739	14.99860545	1.990754623	0.788732714          2.0086429293
2013-03-22 00:00:00	6.8196		0.7358     	17.84756473	2.164653388	0.850312915          1.99475647
2013-03-24 00:00:00	6.88506666	0.731866667	15.5116768	2.297271007	0.923582509          2.1329553422
2013-03-26 00:00:00	6.75673334	0.698733333	14.48638748	2.132069679	0.948648422          2.164629742
2013-03-28 00:00:00	6.5464		0.676733333	18.37797852	2.797501249	1.177615902          1.9533382931
2013-03-30 00:00:00	6.1982		0.671066667	17.0976022	2.788005997	1.667847328          1.8194903926
2013-04-01 00:00:00	3.61813334	0.432133333	25.16164349	4.468280146	4.06116004           1.7183027976
2013-04-03 00:00:00	5.54366668	0.5876  	18.32333694	3.227264939	2.44633676           1.6019974027
2013-04-05 00:00:00	4.956     	0.560866667	21.54099575	3.539515956	2.995858712          1.5823726391
2013-04-07 00:00:00	2.07493334	0.327866667	33.12143036	5.887342043	6.461703304          1.5590152556
2013-04-09 00:00:00	0.84393334	0.179533333	41.68670385	6.350781752	6.07366368           1.5434216846
2013-04-11 00:00:00	0.34453332	0.085333333	48.82590958	6.724673378	5.232509464          1.5583301083
2013-04-13 00:00:00	0.18426666	0.09147694	46.40302223	6.525722853	3.788809248          1.4943333643
2013-04-15 00:00:00	0.00009842	0.0768    	47.18954292	6.667402013	3.263389136          1.5660955332
2013-04-17 00:00:00	0.00009864	0.09863368	37.54095413	5.508938388	1.877292318          1.581377616
2013-04-19 00:00:00	0.00009782	0.091066667	38.10870036	5.714842579	1.830775766          1.6839546515
2013-04-21 00:00:00	0.00005176	0.09561486	45.51356812	6.975400395	2.61504964           1.798764328
2013-04-23 00:00:00	0.00002278	0.094824667	44.55379236	6.686321125	2.641561664          1.5809207849
2013-04-25 00:00:00	0.00003198	0.0708    	38.08982599	5.269715142	2.94042448           1.5630296278
2013-04-27 00:00:00	0.0000286	0.060592725	47.72058113	6.868722781	3.42246128           1.545925727
2013-04-29 00:00:00	0.00002062	0.058901497	51.00201482	7.309566645	3.559841768          1.5438536688
2013-05-01 00:00:00	0.00001342	0.05085746	48.77035218	6.815370886	3.461024224          1.5151478458
2013-05-03 00:00:00	0.00011774	0.028139918	42.03694946	4.984179339	3.622506552          1.515236949
2013-05-05 00:00:00	0.00005224	0.02532747	38.91609774	5.004658385	3.656249128          1.4910912681
2013-05-07 00:00:00	0.000092225	0.038497164	38.94589127	4.863682444	3.258568768          1.5183107059
2013-05-09 00:00:00	0.00005404	0.048476755	39.48137541	5.512372385	2.7717116            1.5007578257
2013-05-11 00:00:00	0.00003864	0.048574556	36.32090584	4.814606982	2.595286131          1.4953309005
2013-05-13 00:00:00	0.00005044	0.04902286	35.69155774	4.466652388	2.409701963          1.5107136705
2013-05-15 00:00:00	0.00002874	0.042649665	34.57554741	4.579124723	2.169647637          1.5095284382
2013-05-17 00:00:00	0.00002554	0.03944489	31.98108401	4.077368459	1.924772942          1.5278676255
2013-05-19 00:00:00	0.00003526	0.042700213	28.72481892	3.864075105	1.36320007           1.5176459623
2013-05-21 00:00:00	0.00001822	0.037183309	28.45497461	3.567252088	1.299330194          1.5683338883
2013-05-23 00:00:00	0.000017225	0.0605904	24.9507618	3.500992361	1.058070776          1.5830473885
2013-05-25 00:00:00	0.0000253	0.053362444	22.60646074	2.80731063	1.043609672          1.5947674989
2013-05-27 00:00:00	0.00006198	0.056202931	25.46344184	2.984036553	1.180267105          1.584860098
2013-05-29 00:00:00	0.00005424	0.061390622	28.20251436	2.973834511	1.349221003          1.7585643019
2013-05-31 00:00:00	0.00001896	0.050917387	24.09355591	2.521596345	0.985765256          1.5817462633
2013-06-02 00:00:00	0.00002564	0.055492451	21.33878944	2.703855215	0.777043322          1.5468589657
2013-06-04 00:00:00	0.00001558	0.054634771	24.39487969	2.485107446	1.015651538          1.5842731345
2013-06-06 00:00:00	0.00002432	0.054977442	24.80069936	2.833711716	0.815124229          1.5535067302
2013-06-08 00:00:00	0.00009776	0.04024008	26.07419033	2.631320054	0.671236244          1.5780836647
2013-06-10 00:00:00	0.00008418	0.040599715	28.76991924	2.992939245	0.732936954          1.6680772053
2013-06-12 00:00:00	0.00001342	0.03868228	23.64461743	2.77614764	0.790058315	     1.6968711147
